		JMA			PGV			PGA			MMI
		a	b		a	b		a	b		a	b
‚PHokkaido		18231 	-3.3149 		0.0652 	-0.1607		0.103 	-0.0364 		929.4 	-1.7684 	
‚QAomori		120426 	-3.513 		0.127 	-0.1402 		0.2268 	-0.0382 		2263.7 	-1.8015 	
‚RIwate		572574 	-3.9002 		0.4779 	-0.2392 		0.707 	-0.0397 		11075 	-1.8864 	
‚SMiyagi		123205 	-3.3442 		0.2995 	-0.1324 		0.4423 	-0.0202 		3582 	-1.6195 	
‚TAkita		20751 	-3.1732 		0.068 	-0.1158 		0.1353 	-0.0338 		657.98 	-1.6469 	
‚UYamagata	14776 	-3.0796 		0.0951 	-0.1215 		0.1688 	-0.0189 		1042.8 	-1.5592 	
‚VFukushima	679980 	-3.8415 		0.492 	-0.2084 		0.7126 	-0.039 		9387.6 	-1.8523 	
‚WIbaraki		3000000	-3.8443 		0.6711 	-0.1351 		0.6526 	-0.0235 		13866 	-1.8108 	
‚XTochigi		2000000	-4.0543 		0.5554 	-0.222 		0.8358 	-0.0393 		9888.8 	-1.839 	
10Gumma		111441 	-3.4248 		0.3085 	-0.1648 		0.2921 	-0.0235 		5315.9 	-1.7892 	
11Saitama		1000000 	-3.6222 		0.5116 	-0.1066 		0.5984 	-0.0215 		5831 	-1.6674 	
12Chiba		54598 	-3.0794 		0.2029 	-0.0937 		0.3365 	-0.0182 		1564 	-1.507 	
13Tokyo		2000000 	-3.6799 		0.7033 	-0.114 		0.8601 	-0.0183 		2772.9 	-1.4559 	
14Kanagawa	576344 	-3.2903 		0.4232 	-0.0714 		0.5699 	-0.0181 		1441.7 	-1.4179 	
15Yamanashi	1317.8 	-1.9496 		0.2171 	-0.0314 		0.2385 	-0.0081 		9.4629 	-0.6598 	
16Niigata		16472 	-3.0622 		0.0714 	-0.1039 		0.0939 	-0.0167 		230.21 	-1.3899 	
17Nagano		2467.6 	-2.5736 		0.0819 	-0.0815 		0.1006 	-0.009 		0.1006 	-0.009 	
18Shizuoka	16.273 	-1.0719 		0.1883 	-0.0265 		0.1997 	-0.0037 		4.8042 	-0.5265 	
19Aichi		7966.3 	-2.5097 		0.2332 	-0.0615 		0.2021 	-0.0087 		159.05 	-1.1332 	
20Gifu		24973 	-2.7945 		0.25 	-0.0752 		0.2541 	-0.0146 		96.533 	-1.09 	
21Mie		2651 	-2.2693 		0.1843 	-0.0497 		0.1828 	-0.0067 		36.694 	-0.8944 	
22Toyama		13245 	-2.9913 		0.0817 	-0.0992 		0.114 	-0.0184 		422.47 	-1.4782 	
23Ishikawa		15950 	-3.1828 		0.0786 	-0.1369 		0.0893 	-0.02 		824.1 	-1.6345 	
24Fukui		95994 	-3.403 		0.1836 	-0.141 		0.2428 	-0.0329 		451.49 	-1.4894 	
25Shiga		16705 	-2.7526 		0.1342 	-0.061 		0.1347 	-0.0095 		323.98 	-1.3031 	
26Kyoto		13500 	-2.8635 		0.1804 	-0.1019 		0.2153 	-0.0156 		141.79 	-1.1845 	
27Nara		4987.7 	-2.5385 		0.1582 	-0.0694 		0.1555 	-0.0084 		127.6 	-1.1308 	
28Osaka		27856 	-2.8621 		0.1897 	-0.0739 		0.2097 	-0.0105 		1711.6 	-1.4956 	
29Wakayama	7788.3 	-2.5437 		0.1806 	-0.0599 		0.1672 	-0.0089 		180.05 	-1.1786 	
30Hyogo		17072 	-2.9234 		0.2174 	-0.1141 		0.2098 	-0.0168 		208.34 	-1.2629 	
31Okayama	6956.9 	-2.7187 		0.1211 	-0.0854 		0.1246 	-0.0165 		131.94 	-1.2675 	
32Hiroshima	7097.5 	-2.7116 		0.1133 	-0.08 		0.1411 	-0.0133 		42.042 	-1.0343 	
33Tottori		16299 	-3.18 		0.0964 	-0.1515 		0.1182 	-0.0339 		336.49 	-1.5648 	
34Shimane	8027.5 	-3.2769 		0.1468 	-0.2862 		0.1519 	-0.0277 		96.445 	-1.2723 	
35Yamaguchi	3151.4 	-2.9315 		0.1267 	-0.2085 		0.1289 	-0.0159 		96.427 	-1.2083 	
36Kagawa		1854.1 	-2.3559 		0.1046 	-0.0602 		0.1141 	-0.0086 		1.342 	-0.6413 	
37Tokushima	2304 	-2.2538 		0.1177 	-0.0398 		0.1436 	-0.0057 		18.407 	-0.8054 	
38Ehime		149 	-1.8075 		0.1221 	-0.0644 		0.1424 	-0.0102 		15.227 	-0.8358 	
39Kochi		220.26 	-1.77 		0.089 	-0.0293 		0.1086 	-0.0039 		5.1318 	-0.6244 	
40Fukuoka		13559 	-3.1466 		0.0697 	-0.1333 		0.0774 	-0.0194 		414.78 	-1.5465 	
41Saga		21321 	-3.2219 		0.0933 	-0.1437 		0.1015 	-0.0201 		681.94 	-1.5907 	
42Nagasaki	3698.3 	-3.024 		0.078 	-0.1922 		0.0944 	-0.0163 		161.91 	-1.333 	
43Oita		8441.2 	-2.659 		0.1497	-0.0737 		0.1461 	-0.0095 		279.36 	-1.2723 	
44Kumamoto	31515 	-3.1025 		0.1284 	-0.1053 		0.1885 	-0.0178 		395.55 	-1.3869 	
45Miyazaki	38424 	-2.9428 		0.2116 	-0.0818 		0.2085 	-0.0103 		808 	-1.3884 	
46Kagoshima	36416 	-3.0337 		0.0831 	-0.0697 		0.1031 	-0.0093 		382.69 	-1.3574 	
47Okinawa		9691.1 	-2.7276 		0.0692 	-0.0567 		0.1 	-0.0082 		141.26 	-1.1962 					
